RATA_RATA,MAT,BIO,KIM,BIG,INDEKS,TARGET
93.43,95,93,92.4,93.2,0.848,1
93.29,95,93.8,93,94,0.848,1
94.56,94.4,94.6,94,94.4,0.841,1
93.06,94.2,92.4,92.2,92,0.851,1
90.88,93.6,91,90.6,90.4,0.842,1
89.25,93,86,90.8,86.6,0.865,1
90.17,92.2,90.2,89.8,93.2,0.865,1
93.23,91.4,93,94,93,0.848,1
90.68,91.2,89.4,91.4,91.8,0.773,1
91.01,91.2,90.4,91.6,92,0.773,1
90.14,91.2,93.6,91.6,90.4,0.843,1
89.37,91,88.6,90.2,92.6,0.884,1
90.86,90.4,94.4,95.2,90.4,0.772,1
87.26,89.6,90.4,88,87.6,0.873,1
90.42,89.4,87.8,94,90.2,0.878,1
89.73,89,89.2,89.6,90.2,0.845,1
88.31,89,91.4,91,84.8,0.834,1
87.60,88.2,87.6,89.2,86.6,0.802,1
89.98,88.2,90,88.6,90.8,0.791,1
88.57,87.8,88.6,87.6,87.6,0.871,1
89.54,87.4,88.8,89,87.6,0.823,1
89.07,87.4,91.6,85.4,90.8,0.839,1
88.44,86.8,88.4,85.6,85,0.878,1
88.09,86.2,85.4,90,89.6,0.854,1
84.80,86.2,86.8,84.4,87.4,0.876,1
86.41,85.6,87.8,86.8,84.6,0.843,1
88.15,85.6,89,86.6,92,0.872,1
87.84,85.4,87.4,86.8,88.8,0.878,1
87.48,85,86.2,85.2,88.6,0.893,1
86.09,85,86.4,83.8,84.4,0.845,1
85.81,84.8,86.4,85.6,86.8,0.831,1
85.71,84.6,87.2,88.6,84.8,0.871,1
85.83,84.4,85.8,87.2,85.2,0.892,1
88.23,84.4,86.4,88.6,88.4,0.851,1
83.34,84.2,83.4,81.8,83.8,0.873,1
85.57,84,84.6,85.8,84.6,0.832,1
86.33,83.2,86,85,87.8,0.831,1
84.45,83,81,82,86.4,0.848,1
86.09,82.2,87.6,82,83.6,0.85,1
85.41,82,85.2,85.8,86,0.84,1
84.97,82,90.8,77.8,80,0.923,1
85.54,81.8,83.4,88.8,87.6,0.883,1
83.34,80,84.8,84.4,84.2,0.858,1
83.20,81.2,83.2,82.4,82.8,0.798,0
84.49,82.4,84.4,80.8,82.6,0.765,0
85.67,85.4,83.2,81,83.8,0.714,0
85.16,82.6,82.6,79.6,83.6,0.714,0
86.52,86.8,86.4,81.8,85,0.765,0
84.46,80.8,85.8,84,84.4,0.752,0
89.45,88.8,90,87,88.6,0.725,0
84.77,83.2,84.2,83.8,85.2,0.825,0
85.98,85.4,86.2,86.4,86.2,0.773,0
88.95,87.6,89.6,89.6,90.8,0.741,0
85.05,83,86.4,79.4,84,0.765,0
88.52,92.8,88.4,85.4,87.8,0.684,0
78.63,80.4,75.2,73.6,76.4,0.798,0
84.19,84.4,83.4,83.8,81.2,0.687,0
86.03,85,79.6,86,85.6,0.759,0
92.53,92,92,93,94,0.848,0
85.68,86.2,85.8,84,86.8,0.77,0
87.19,87.2,87.6,83.2,87.4,0.783,0
86.40,82.8,86,80.8,87.8,0.77,0
81.28,77.4,79,78.4,81.2,0.785,0
90.19,91,92.4,91.8,92.2,0.824,0
84.39,82.4,82,85.4,82.2,0.759,0
85.92,85.2,87.8,85.6,84.6,0.836,0
91.08,89.4,90.6,87.4,85.2,0.859,0
84.48,80.4,86,81,86.2,0.785,0
90.61,87.6,91.2,90.8,88.8,0.823,0
88.09,89.4,87,89.6,86.2,0.865,0
88.97,90.2,90.6,89.4,89.8,0.834,0
84.65,86.8,82.2,79.4,93.2,0.668,0
89.57,87,90.8,85.8,92.2,0.85,0
87.91,86,92,86.2,90,0.854,0
85.69,79.4,90.2,83.4,85.2,0.812,0
82.69,80.4,82.2,82,85.8,0.774,0
87.03,88.2,87.2,84.4,86.2,0.765,0
85.45,85.8,86,82.6,85.2,0.765,0
86.35,86.2,83.4,84.8,84.6,0.765,0
85.55,83.2,83.8,82.6,85,0.765,0
86.86,85.8,87.6,86.6,86.2,0.846,0
86.06,86.4,90.2,89.4,83.8,0.806,0
87.91,87.8,89.6,84.6,87.2,0.845,0
85.07,84.6,83.2,79.6,87.8,0.777,0
93.11,94.2,95.8,96.8,93.8,0.704,0
84.81,84.2,84.6,81.8,85,0.777,0
88.77,87.2,89.2,88,89.4,0.85,0
91.14,89.2,91.4,87.8,91,0.888,0
82.32,79.6,82,84.2,81.6,0.769,0
83.98,84,84.6,82.2,85.8,0.876,0
85.95,84.6,86.6,87.2,86.6,0.892,0
86.02,84.8,84.8,82.8,89.8,0.848,0
84.43,83.8,82.6,82,83.8,0.727,0
92.04,90.8,92.4,91.8,92.8,0.779,0
87.66,87,87,86.8,87.4,0.92,0
87.36,83.2,88.2,83.8,86.6,0.845,0
85.20,85,84.3,86,88,0.75,0
84.66,81.6,83,82.8,80.6,0.848,0
87.05,83.8,86.6,82.8,88.8,0.77,0
83.01,77.4,86,86.2,85.2,0.745,0
83.31,79.4,86.2,80.2,81.8,0.816,0
87.19,85,87.2,86.6,87.2,0.871,0
87.94,89.6,88.2,88.2,87.8,0.871,0
90.26,88.6,90.2,90.2,90.4,0.811,0
84.43,81.2,84.6,80.8,89.2,0.842,0
87.90,89.2,88.4,89.2,85.2,0.834,0
93.33,92.8,93,92.4,93,0.851,0
89.29,91.2,89.4,91,89.8,0.834,0
88.22,89.2,90.2,87.8,85.2,0.811,0
85.03,87.2,85,86.2,86.8,0.728,0
88.49,88.2,87.6,85.8,85.8,0.823,0
84.80,83.2,86.2,85.4,84.6,0.769,0
87.49,87.6,87.8,88.8,90,0.77,0
90.34,90.2,90.2,90.2,90.2,0.699,0
88.04,87.2,85.8,87,88.2,0.897,0
90.51,91,91.6,90.2,88.6,0.783,0
84.67,82.2,83.8,85,82.2,0.71,0
86.00,86.2,84.8,84.8,85,0.877,0
91.22,91.6,91.8,91.4,87.6,0.822,0
87.94,83.6,88.4,89.6,89.2,0.854,0
90.16,87,89.8,86,89.2,0.845,0
85.11,89.2,82.8,82.4,80.2,0.724,0
90.08,90.4,89.4,90.4,89,0.836,0
90.27,90.4,89.8,87.6,84.2,0.826,0
87.19,82.8,89,87.8,83.4,0.794,0
90.79,87.8,89.6,91.2,94.4,0.851,0
91.18,92.2,92,93.4,90.2,0.779,0
86.89,85.6,87,85.6,86.2,0.901,0
86.37,86.6,85.6,82.6,88.2,0.848,0
81.23,77.4,81.6,77,80,0.784,0
87.08,85.6,86.4,86.4,85.2,0.894,0
87.72,86.6,90.4,85.8,85.2,0.839,0
85.99,81.6,87,89.8,85.2,0.831,0
